"Date","Time","Open","High","Low","Close","Vol","OI"
11/09/2009,16:59,83.930,85.352,83.536,85.205,0,0
11/10/2009,16:59,85.230,85.680,84.535,84.904,0,0
11/11/2009,16:59,85.575,86.123,85.020,85.966,0,0
11/12/2009,16:59,85.950,86.350,85.260,85.550,0,0
11/13/2009,16:59,85.570,85.877,84.950,85.190,0,0
11/16/2009,16:59,84.935,85.746,84.855,85.001,0,0
11/17/2009,16:59,85.000,85.178,84.085,84.904,0,0
11/18/2009,16:59,84.875,85.247,84.530,84.655,0,0
11/19/2009,16:59,84.627,84.749,82.993,83.625,0,0
11/20/2009,16:59,83.652,83.840,82.870,82.964,0,0
11/23/2009,16:59,83.104,84.535,83.012,84.261,0,0
11/24/2009,16:59,84.245,84.318,83.290,83.633,0,0
11/25/2009,16:59,83.643,83.879,83.125,83.535,0,0
11/26/2009,16:59,83.530,83.601,81.425,81.716,0,0
11/27/2009,16:59,81.690,81.842,79.905,81.411,0,0
11/30/2009,16:59,81.820,82.273,81.210,81.788,0,0
12/01/2009,16:59,81.720,83.320,81.592,82.825,0,0
12/02/2009,16:59,82.820,83.737,82.718,83.125,0,0
12/03/2009,16:59,83.110,84.055,83.095,83.461,0,0
12/04/2009,16:59,83.464,85.810,83.211,85.545,0,0
12/07/2009,16:59,85.251,85.515,84.480,85.091,0,0
12/08/2009,16:59,85.036,85.101,82.751,83.093,0,0
12/09/2009,16:59,83.125,83.490,82.295,83.295,0,0
12/10/2009,16:59,83.325,84.570,82.990,83.850,0,0
12/11/2009,16:59,83.843,85.192,83.840,83.975,0,0
12/14/2009,16:59,83.833,84.369,82.966,83.676,0,0
12/15/2009,16:59,83.646,84.718,83.581,84.421,0,0
12/16/2009,16:59,84.407,84.806,84.147,84.570,0,0
12/17/2009,16:59,84.570,84.733,83.670,83.981,0,0
12/18/2009,16:59,83.950,85.073,83.040,84.798,0,0
12/21/2009,16:59,84.589,86.094,84.492,85.810,0,0
12/22/2009,16:59,85.823,87.044,85.567,86.820,0,0
12/23/2009,16:59,86.815,87.493,86.627,87.348,0,0
12/24/2009,16:59,87.381,87.622,86.929,87.167,0,0
12/28/2009,16:59,87.105,87.915,87.090,87.829,0,0
12/29/2009,16:59,87.836,88.518,87.760,88.146,0,0
12/30/2009,16:59,88.133,88.255,87.351,87.567,0,0
12/31/2009,16:59,87.542,89.050,87.440,88.274,0,0
01/04/2010,16:59,88.327,89.486,88.327,88.790,0,0
01/05/2010,16:59,88.803,88.990,87.910,88.235,0,0
01/06/2010,16:59,88.255,89.678,87.964,89.400,0,0
01/07/2010,16:59,89.335,90.411,88.975,90.200,0,0
01/08/2010,16:59,90.170,90.614,89.068,89.955,0,0
01/11/2010,16:59,90.023,90.089,88.910,89.070,0,0
01/12/2010,16:59,89.033,89.279,87.270,87.543,0,0
01/13/2010,16:59,87.555,88.804,87.332,88.619,0,0
01/14/2010,16:59,88.654,89.320,88.436,89.096,0,0
01/15/2010,16:59,89.088,89.167,88.077,88.165,0,0
01/18/2010,16:59,88.058,88.573,87.965,88.456,0,0
01/19/2010,16:59,88.424,88.500,87.852,88.344,0,0
01/20/2010,16:59,88.369,88.426,86.762,87.176,0,0
01/21/2010,16:59,87.139,87.819,85.753,85.906,0,0
01/22/2010,16:59,85.871,86.453,84.813,84.885,0,0
01/25/2010,16:59,85.210,85.660,84.812,85.323,0,0
01/26/2010,16:59,85.333,85.831,83.739,84.348,0,0
01/27/2010,16:59,84.375,84.587,83.643,84.549,0,0
01/28/2010,16:59,84.530,85.636,84.130,84.300,0,0
01/29/2010,16:59,84.304,85.384,83.840,84.295,0,0
02/01/2010,16:59,84.080,85.432,84.080,85.404,0,0
02/02/2010,16:59,85.356,85.898,84.970,85.483,0,0
02/03/2010,16:59,85.453,86.100,85.270,85.602,0,0
02/04/2010,16:59,85.619,85.851,82.368,82.857,0,0
02/05/2010,16:59,82.821,84.170,82.477,83.309,0,0
02/08/2010,16:59,83.421,84.009,82.921,82.944,0,0
02/09/2010,16:59,82.955,84.259,82.839,84.151,0,0
